Variable,Label,GRAFT_NE
FBD_NORIGDIS_G_NEM69," Full Benefit Dual -- Not Originally Disabled Male 69",1.443
FBD_NORIGDIS_G_NEM70_74," Full Benefit Dual -- Not Originally Disabled Male 70-74",1.443
FBD_NORIGDIS_G_NEM75_79," Full Benefit Dual -- Not Originally Disabled Male 75-79",1.443
FBD_NORIGDIS_G_NEM80_84," Full Benefit Dual -- Not Originally Disabled Male 80-84",1.489
FBD_NORIGDIS_G_NEM85_89," Full Benefit Dual -- Not Originally Disabled Male 85-89",1.667
FBD_NORIGDIS_G_NEM90_94," Full Benefit Dual -- Not Originally Disabled Male 90-94",1.964
FBD_NORIGDIS_G_NEM95_GT," Full Benefit Dual -- Not Originally Disabled Male 95+",1.964
ND_PBD_ORIGDIS_G_NEF65," NonDual or Partial Benefit Dual and Originally Disabled Female 65",1.202
ND_PBD_ORIGDIS_G_NEF66," NonDual or Partial Benefit Dual and Originally Disabled Female 66",1.265
ND_PBD_ORIGDIS_G_NEF67," NonDual or Partial Benefit Dual and Originally Disabled Female 67",1.265
ND_PBD_ORIGDIS_G_NEF68," NonDual or Partial Benefit Dual and Originally Disabled Female 68",1.265
ND_PBD_ORIGDIS_G_NEF69," NonDual or Partial Benefit Dual and Originally Disabled Female 69",1.265
ND_PBD_ORIGDIS_G_NEF70_74," NonDual or Partial Benefit Dual and Originally Disabled Female 70-74",1.265
ND_PBD_ORIGDIS_G_NEF75_79," NonDual or Partial Benefit Dual and Originally Disabled Female 75-79",1.265
ND_PBD_ORIGDIS_G_NEF80_84," NonDual or Partial Benefit Dual and Originally Disabled Female 80-84",1.265
ND_PBD_ORIGDIS_G_NEF85_89," NonDual or Partial Benefit Dual and Originally Disabled Female 85-89",1.275
ND_PBD_ORIGDIS_G_NEF90_94," NonDual or Partial Benefit Dual and Originally Disabled Female 90-94",1.275
ND_PBD_ORIGDIS_G_NEF95_GT," NonDual or Partial Benefit Dual and Originally Disabled Female 95+",1.275
ND_PBD_ORIGDIS_G_NEM65," NonDual or Partial Benefit Dual and Originally Disabled Male 65",1.048
ND_PBD_ORIGDIS_G_NEM66," NonDual or Partial Benefit Dual and Originally Disabled Male 66",1.145
ND_PBD_ORIGDIS_G_NEM67," NonDual or Partial Benefit Dual and Originally Disabled Male 67",1.145
ND_PBD_ORIGDIS_G_NEM68," NonDual or Partial Benefit Dual and Originally Disabled Male 68",1.145
ND_PBD_ORIGDIS_G_NEM69," NonDual or Partial Benefit Dual and Originally Disabled Male 69",1.286
ND_PBD_ORIGDIS_G_NEM70_74," NonDual or Partial Benefit Dual and Originally Disabled Male 70-74",1.286
ND_PBD_ORIGDIS_G_NEM75_79," NonDual or Partial Benefit Dual and Originally Disabled Male 75-79",1.286
ND_PBD_ORIGDIS_G_NEM80_84," NonDual or Partial Benefit Dual and Originally Disabled Male 80-84",1.286
ND_PBD_ORIGDIS_G_NEM85_89," NonDual or Partial Benefit Dual and Originally Disabled Male 85-89",1.502
ND_PBD_ORIGDIS_G_NEM90_94," NonDual or Partial Benefit Dual and Originally Disabled Male 90-94",1.502
ND_PBD_ORIGDIS_G_NEM95_GT," NonDual or Partial Benefit Dual and Originally Disabled Male 95+",1.502
FBD_ORIGDIS_G_NEF65," Full Benefit Dual and Originally Disabled Female 65",1.585
FBD_ORIGDIS_G_NEF66," Full Benefit Dual and Originally Disabled Female 66",1.585
FBD_ORIGDIS_G_NEF67," Full Benefit Dual and Originally Disabled Female 67",1.585
FBD_ORIGDIS_G_NEF68," Full Benefit Dual and Originally Disabled Female 68",2.004
FBD_ORIGDIS_G_NEF69," Full Benefit Dual and Originally Disabled Female 69",2.004
FBD_ORIGDIS_G_NEF70_74," Full Benefit Dual and Originally Disabled Female 70-74",2.004
FBD_ORIGDIS_G_NEF75_79," Full Benefit Dual and Originally Disabled Female 75-79",2.004
FBD_ORIGDIS_G_NEF80_84," Full Benefit Dual and Originally Disabled Female 80-84",2.004
FBD_ORIGDIS_G_NEF85_89," Full Benefit Dual and Originally Disabled Female 85-89",2.004
FBD_ORIGDIS_G_NEF90_94," Full Benefit Dual and Originally Disabled Female 90-94",2.004
FBD_ORIGDIS_G_NEF95_GT," Full Benefit Dual and Originally Disabled Female 95+",2.004
FBD_ORIGDIS_G_NEM65," Full Benefit Dual and Originally Disabled Male 65",1.711
FBD_ORIGDIS_G_NEM66," Full Benefit Dual and Originally Disabled Male 66",1.942
FBD_ORIGDIS_G_NEM67," Full Benefit Dual and Originally Disabled Male 67",1.942
FBD_ORIGDIS_G_NEM68," Full Benefit Dual and Originally Disabled Male 68",1.942
FBD_ORIGDIS_G_NEM69," Full Benefit Dual and Originally Disabled Male 69",1.942
FBD_ORIGDIS_G_NEM70_74," Full Benefit Dual and Originally Disabled Male 70-74",1.942
FBD_ORIGDIS_G_NEM75_79," Full Benefit Dual and Originally Disabled Male 75-79",2.788
FBD_ORIGDIS_G_NEM80_84," Full Benefit Dual and Originally Disabled Male 80-84",2.788
FBD_ORIGDIS_G_NEM85_89," Full Benefit Dual and Originally Disabled Male 85-89",2.788
FBD_ORIGDIS_G_NEM90_94," Full Benefit Dual and Originally Disabled Male 90-94",2.788
FBD_ORIGDIS_G_NEM95_GT," Full Benefit Dual and Originally Disabled Male 95+",2.788
