Graft Duration,Label,Score
DUR4_9_LT65, NonAged/with duration since transplant of 4-9 months,2.174
DUR4_9_GE65, Aged/with duration since transplant of 4-9 months,2.562
DUR10PL_LT65, NonAged/with duration since transplant of 10 months or more,0.84
DUR10PL_GE65, Aged/with duration since transplant of 10 months or more,1.121
