Variable,Label,DIAL,GRAFT_COMM,GRAFT_INST
HCC157," Pressure Ulcer of Skin with Necrosis Through to Muscle/Tendon/Bone",0.277,2.492,0.968
HCC158," Pressure Ulcer of Skin with Full Thickness Skin Loss",0.161,1.285,0.378
HCC159," Pressure Ulcer of Skin with Partial Thickness Skin Loss",0.147,0.955,0.225
HCC160," Pressure Pre-Ulcer Skin Changes or Unspecified Stage",0.147,0.799,0.225
HCC161," Chronic Ulcer of Skin/Except Pressure",0.119,0.503,0.225
HCC162," Severe Skin Burn or Condition",0.042,0.37,0
HCC166," Severe Head Injury",0.043,0.184,0
HCC167," Major Head Injury",0.017,0.184,0
HCC169," Vertebral Fractures without Spinal Cord Injury",0.065,0.456,0.237
HCC170," Hip Fracture/Dislocation",0.05,0.35,0
HCC173," Traumatic Amputations and Complications",0.042,0.29,0.061
HCC176," Complications of Specified Implanted Device or Graft",0,0.599,0.599
HCC186," Major Organ Transplant or Replacement Status",0.154,0.075,0.075
HCC188," Artificial Openings for Feeding or Elimination",0.078,0.643,0.482
HCC189," Amputation Status/Lower Limb/Amputation Complications",0.09,0.654,0.339
SEPSIS_CARD_RESP_FAIL," Sepsis* Cardiorespiratory Failure ",0.038,0.133,
CANCER_IMMUNE," Cancer*Immune Disorders",0.025,0.773,
DIABETES_CHF," Diabetes* Congestive Heart Failure",0,0.16,0.159
CHF_COPD," Congestive Heart Failure*Chronic Obstructive Pulmonary Disease",0.022,0.227,0.19
CHF_RENAL," Congestive Heart Failure*Renal Disease",,0,
COPD_CARD_RESP_FAIL," Chronic Obstructive Pulmonary Disease* Cardiorespiratory Failure",0.024,0.453,0.416
SEPSIS_PRESSURE_ULCER,Sepsis*Pressure Ulcer,,,0.226
SEPSIS_ARTIF_OPENINGS,Sepsis*Artificial Openings for Feeding or Elimination,,,0.452
ART_OPENINGS_PRESSURE_ULCER,Artificial Openings for Feeding or Elimination*Pressure Ulcer,,,0.295
COPD_ASP_SPEC_BACT_PNEUM,Chronic Obstructive Pulmonary Disease*Aspiration and Specified Bacterial Pneumonias,,,0.22
ASP_SPEC_BACT_PNEUM_PRES_ULC,Aspiration and Specified Bacterial Pneumonias*Pressure Ulcer,,,0.252
SEPSIS_ASP_SPEC_BACT_PNEUM,Sepsis*Aspiration and Specified Bacterial Pneumonias,,,0.347
SCHIZOPHRENIA_COPD,Schizophrenia*Chronic Obstructive Pulmonary Disease,,,0.402
SCHIZOPHRENIA_CHF,Schizophrenia*Congestive Heart Failure,,,0.122
SCHIZOPHRENIA_SEIZURES,Schizophrenia*Seizure Disorders and Convulsions,,,0.541
NONAGED_HCC6," NonAged, Opportunistic Infections",0.073,0.561,0.314
NONAGED_HCC34," NonAged, Chronic Pancreatitis",0.113,0.534,
NONAGED_HCC46," NonAged, Severe Hematological Disorders",0.157,2.791,
NONAGED_HCC54," NonAged,  Drug/Alcohol Psychosis",0.133,0.549,
NONAGED_HCC55," NonAged,  Drug/Alcohol Dependence",0.122,0.066,
NONAGED_HCC110," NonAged, Cystic Fibrosis",0.298,2.746,
NONAGED_HCC176," NonAged, Complications of Specified Implanted Device or Graft",0.04,0,
NONAGED_HCC85,"NonAged, Congestive Heart Failure",,,0.263
NONAGED_PRESSURE_ULCER,"NonAged, Pressure Ulcer",,,0.528
NONAGED_HCC161,"NonAged, Chronic Ulcer of the Skin, Except Pressure Ulcer",,,0.469
NONAGED_HCC39,"NonAged, Bone/Joint Muscle Infections/Necrosis",,,0.447
NONAGED_HCC77,"NonAged, Multiple Sclerosis",,,0.448
