Variable,Label,DIAL_NE
MCAID_ORIGDIS_NEF45_54," Medicaid and Originally Disabled Female 45-54",1.368
MCAID_ORIGDIS_NEF55_59," Medicaid and Originally Disabled Female 55-59",1.368
MCAID_ORIGDIS_NEF60_64," Medicaid and Originally Disabled Female 60-64",1.387
MCAID_ORIGDIS_NEF65_69," Medicaid and Originally Disabled Female 65-69",1.409
MCAID_ORIGDIS_NEF70_74," Medicaid and Originally Disabled Female 70-74",1.444
MCAID_ORIGDIS_NEF75_79," Medicaid and Originally Disabled Female 75-79",1.488
MCAID_ORIGDIS_NEF80_84," Medicaid and Originally Disabled Female 80-84",1.488
MCAID_ORIGDIS_NEF85_GT," Medicaid and Originally Disabled Female 85+",1.488
MCAID_ORIGDIS_NEM0_34," Medicaid and Originally Disabled Male 0-34",1.246
MCAID_ORIGDIS_NEM35_44," Medicaid and Originally Disabled Male 35-44",1.246
MCAID_ORIGDIS_NEM45_54," Medicaid and Originally Disabled Male 45-54",1.271
MCAID_ORIGDIS_NEM55_59," Medicaid and Originally Disabled Male 55-59",1.292
MCAID_ORIGDIS_NEM60_64," Medicaid and Originally Disabled Male 60-64",1.361
MCAID_ORIGDIS_NEM65_69," Medicaid and Originally Disabled Male 65-69",1.361
MCAID_ORIGDIS_NEM70_74," Medicaid and Originally Disabled Male 70-74",1.474
MCAID_ORIGDIS_NEM75_79," Medicaid and Originally Disabled Male 75-79",1.474
MCAID_ORIGDIS_NEM80_84," Medicaid and Originally Disabled Male 80-84",1.474
MCAID_ORIGDIS_NEM85_GT," Medicaid and Originally Disabled Male 85+",1.474
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
