Variable,Label,NE_NonLow_Community,NE_Low_Community,NE_LTI
ESRD_NORIGDIS_X_F65,"Female, age 65, concurrently ESRD, not originally disabled",1.299,2.15,2.555
ESRD_NORIGDIS_X_F66,"Female, age 66, concurrently ESRD, not originally disabled",1.299,2.15,2.555
ESRD_NORIGDIS_X_F67,"Female, age 67, concurrently ESRD, not originally disabled",1.299,2.15,2.555
ESRD_NORIGDIS_X_F68,"Female, age 68, concurrently ESRD, not originally disabled",1.299,2.15,2.555
ESRD_NORIGDIS_X_F69,"Female, age 69, concurrently ESRD, not originally disabled",1.299,2.15,2.555
ESRD_NORIGDIS_X_F70_74,"Female, age 70 - 74, concurrently ESRD, not originally disabled",1.299,2.15,2.555
ESRD_NORIGDIS_X_F75_79,"Female, age 75 - 79, concurrently ESRD, not originally disabled",1.299,2.15,2.555
ESRD_NORIGDIS_X_F80_84,"Female, age 80 - 84, concurrently ESRD, not originally disabled",1.299,2.15,2.555
ESRD_NORIGDIS_X_F85_89,"Female, age 85 - 89, concurrently ESRD, not originally disabled",1.299,2.15,2.555
ESRD_NORIGDIS_X_F90_94,"Female, age 90 - 94, concurrently ESRD, not originally disabled",1.299,2.15,2.555
ESRD_NORIGDIS_X_F95_GT,"Female, age 95 -, concurrently ESRD, not originally disabled",1.299,2.15,2.555
NESRD_ORIGDIS_X_M65,"Male, age 65, not concurrently ESRD, originally disabled",1.008,1.446,2.379
NESRD_ORIGDIS_X_M66,"Male, age 66, not concurrently ESRD, originally disabled",0.965,0.939,1.952
NESRD_ORIGDIS_X_M67,"Male, age 67, not concurrently ESRD, originally disabled",0.965,0.914,1.952
NESRD_ORIGDIS_X_M68,"Male, age 68, not concurrently ESRD, originally disabled",0.94,0.815,1.740
NESRD_ORIGDIS_X_M69,"Male, age 69, not concurrently ESRD, originally disabled",0.94,0.815,1.740
NESRD_ORIGDIS_X_M70_74,"Male, age 70 - 74, not concurrently ESRD, originally disabled",0.94,0.753,1.740
NESRD_ORIGDIS_X_M75_79,"Male, age 75 - 79, not concurrently ESRD, originally disabled",0.668,0.639,1.341
NESRD_ORIGDIS_X_M80_84,"Male, age 80 - 84, not concurrently ESRD, originally disabled",0.668,0.639,1.341
NESRD_ORIGDIS_X_M85_89,"Male, age 85 - 89, not concurrently ESRD, originally disabled",0.668,0.639,1.019
NESRD_ORIGDIS_X_M90_94,"Male, age 90 - 94, not concurrently ESRD, originally disabled",0.368,0.333,0.712
NESRD_ORIGDIS_X_M95_GT,"Male, age 95 -, not concurrently ESRD, originally disabled",0.368,0.333,0.712
NESRD_ORIGDIS_X_F65,"Female, age 65, not concurrently ESRD, originally disabled",1.104,1.638,2.824
NESRD_ORIGDIS_X_F66,"Female, age 66, not concurrently ESRD, originally disabled",1.255,1.213,2.427
NESRD_ORIGDIS_X_F67,"Female, age 67, not concurrently ESRD, originally disabled",1.255,1.013,2.427
NESRD_ORIGDIS_X_F68,"Female, age 68, not concurrently ESRD, originally disabled",1.023,1.013,1.726
NESRD_ORIGDIS_X_F69,"Female, age 69, not concurrently ESRD, originally disabled",1.023,1.013,1.726
NESRD_ORIGDIS_X_F70_74,"Female, age 70 - 74, not concurrently ESRD, originally disabled",1.023,0.95,1.614
NESRD_ORIGDIS_X_F75_79,"Female, age 75 - 79, not concurrently ESRD, originally disabled",0.828,0.688,1.614
NESRD_ORIGDIS_X_F80_84,"Female, age 80 - 84, not concurrently ESRD, originally disabled",0.521,0.688,1.055
NESRD_ORIGDIS_X_F85_89,"Female, age 85 - 89, not concurrently ESRD, originally disabled",0.521,0.688,1.055
NESRD_ORIGDIS_X_F90_94,"Female, age 90 - 94, not concurrently ESRD, originally disabled",0.396,0.424,0.658
NESRD_ORIGDIS_X_F95_GT,"Female, age 95 -, not concurrently ESRD, originally disabled",0.396,0.424,0.658
ESRD_ORIGDIS_X_M65,"Male, age 65, concurrently ESRD, originally disabled",1.542,2.226,2.358
ESRD_ORIGDIS_X_M66,"Male, age 66, concurrently ESRD, originally disabled",1.542,2.226,2.358
ESRD_ORIGDIS_X_M67,"Male, age 67, concurrently ESRD, originally disabled",1.542,2.226,2.358
ESRD_ORIGDIS_X_M68,"Male, age 68, concurrently ESRD, originally disabled",1.542,2.226,2.358
ESRD_ORIGDIS_X_M69,"Male, age 69, concurrently ESRD, originally disabled",1.542,2.226,2.358
ESRD_ORIGDIS_X_M70_74,"Male, age 70 - 74, concurrently ESRD, originally disabled",1.542,2.226,2.358
ESRD_ORIGDIS_X_M75_79,"Male, age 75 - 79, concurrently ESRD, originally disabled",1.542,2.226,2.358
ESRD_ORIGDIS_X_M80_84,"Male, age 80 - 84, concurrently ESRD, originally disabled",1.542,2.226,2.358
ESRD_ORIGDIS_X_M85_89,"Male, age 85 - 89, concurrently ESRD, originally disabled",1.542,2.226,2.358
ESRD_ORIGDIS_X_M90_94,"Male, age 90 - 94, concurrently ESRD, originally disabled",1.542,2.226,2.358
ESRD_ORIGDIS_X_M95_GT,"Male, age 95 -, concurrently ESRD, originally disabled",1.542,2.226,2.358
ESRD_ORIGDIS_X_F65,"Female, age 65, concurrently ESRD, originally disabled",1.299,2.15,2.555
ESRD_ORIGDIS_X_F66,"Female, age 66, concurrently ESRD, originally disabled",1.299,2.15,2.555
ESRD_ORIGDIS_X_F67,"Female, age 67, concurrently ESRD, originally disabled",1.299,2.15,2.555
ESRD_ORIGDIS_X_F68,"Female, age 68, concurrently ESRD, originally disabled",1.299,2.15,2.555
ESRD_ORIGDIS_X_F69,"Female, age 69, concurrently ESRD, originally disabled",1.299,2.15,2.555
ESRD_ORIGDIS_X_F70_74,"Female, age 70 - 74, concurrently ESRD, originally disabled",1.299,2.15,2.555
ESRD_ORIGDIS_X_F75_79,"Female, age 75 - 79, concurrently ESRD, originally disabled",1.299,2.15,2.555
ESRD_ORIGDIS_X_F80_84,"Female, age 80 - 84, concurrently ESRD, originally disabled",1.299,2.15,2.555
ESRD_ORIGDIS_X_F85_89,"Female, age 85 - 89, concurrently ESRD, originally disabled",1.299,2.15,2.555
ESRD_ORIGDIS_X_F90_94,"Female, age 90 - 94, concurrently ESRD, originally disabled",1.299,2.15,2.555
ESRD_ORIGDIS_X_F95_GT,"Female, age 95 -, concurrently ESRD, originally disabled",1.299,2.15,2.555
